t,x1,y1,z1,x2,y2,z2,dx,dy,dz,cal_x,cal_y,cal_z
1759749885.8174827,7096.61,-6697.54,769.8,-19.23,-22.84,35.82,7115.839999999999,-6720.38,805.62,7115.839999999999,-6720.38,805.62
1759749885.9103682,7096.61,-6698.75,771.5,-19.23,-22.84,36.3,7115.839999999999,-6721.59,807.8,7115.839999999999,-6721.59,807.8
1759749885.977888,7094.2,-6696.34,772.46,-19.23,-24.04,36.06,7113.429999999999,-6720.38,808.52,7113.429999999999,-6720.38,808.52
1759749886.0374463,7094.2,-6696.34,769.56,-19.23,-22.84,35.09,7113.429999999999,-6719.18,804.65,7113.429999999999,-6719.18,804.65
1759749886.1185045,7095.41,-6696.34,771.5,-19.23,-22.84,35.82,7114.639999999999,-6719.18,807.32,7114.639999999999,-6719.18,807.32
1759749886.197347,7095.41,-6697.54,773.67,-19.23,-22.84,35.82,7114.639999999999,-6720.38,809.49,7114.639999999999,-6720.38,809.49
1759749886.3170247,7094.2,-6695.14,769.32,-19.23,-22.84,35.09,7113.429999999999,-6717.9800000000005,804.4100000000001,7113.429999999999,-6717.9800000000005,804.4100000000001
1759749886.357238,7095.41,-6696.34,769.8,-19.23,-22.84,35.33,7114.639999999999,-6719.18,805.13,7114.639999999999,-6719.18,805.13
1759749886.4394944,7097.81,-6697.54,772.46,-20.43,-21.64,35.09,7118.240000000001,-6719.18,807.5500000000001,7118.240000000001,-6719.18,807.5500000000001
1759749886.5000587,7094.2,-6693.94,769.08,-21.64,-22.84,36.78,7115.84,-6716.78,805.86,7115.84,-6716.78,805.86
1759749886.5776706,7096.61,-6695.14,769.56,-20.43,-22.84,34.85,7117.04,-6717.9800000000005,804.41,7117.04,-6717.9800000000005,804.41
1759749886.657219,7094.2,-6693.94,771.98,-19.23,-22.84,37.03,7113.429999999999,-6716.78,809.01,7113.429999999999,-6716.78,809.01
1759749886.7382884,7096.61,-6695.14,768.35,-19.23,-22.84,33.88,7115.839999999999,-6717.9800000000005,802.23,7115.839999999999,-6717.9800000000005,802.23
1759749886.8583155,7094.2,-6693.94,770.53,-19.23,-24.04,35.57,7113.429999999999,-6717.98,806.1,7113.429999999999,-6717.98,806.1
1759749886.917556,7095.41,-6696.34,772.71,-19.23,-22.84,36.3,7114.639999999999,-6719.18,809.01,7114.639999999999,-6719.18,809.01
1759749886.9770868,7097.81,-6696.34,769.08,-20.43,-22.84,36.06,7118.240000000001,-6719.18,805.1400000000001,7118.240000000001,-6719.18,805.1400000000001
1759749887.0975645,7094.2,-6691.53,767.87,-20.43,-22.84,35.82,7114.63,-6714.37,803.69,7114.63,-6714.37,803.69
1759749887.1583645,7096.61,-6696.34,770.29,-20.43,-22.84,37.75,7117.04,-6719.18,808.04,7117.04,-6719.18,808.04
1759749887.2183208,7095.41,-6695.14,771.01,-20.43,-22.84,36.3,7115.84,-6717.9800000000005,807.31,7115.84,-6717.9800000000005,807.31
1759749887.278592,7094.2,-6693.94,767.14,-20.43,-21.64,36.54,7114.63,-6715.58,803.68,7114.63,-6715.58,803.68
1759749887.4583733,7095.41,-6695.14,770.29,-20.43,-22.84,35.09,7115.84,-6717.9800000000005,805.38,7115.84,-6717.9800000000005,805.38
1759749887.4706745,7094.2,-6693.94,767.38,-20.43,-21.64,35.33,7114.63,-6715.58,802.71,7114.63,-6715.58,802.71
1759749887.5173643,7095.41,-6695.14,767.62,-19.23,-21.64,35.82,7114.639999999999,-6716.780000000001,803.44,7114.639999999999,-6716.780000000001,803.44
1759749887.5782213,7090.6,-6693.94,767.87,-20.43,-22.84,34.61,7111.030000000001,-6716.78,802.48,7111.030000000001,-6716.78,802.48
1759749887.7572935,7095.41,-6692.74,768.11,-20.43,-22.84,34.36,7115.84,-6715.58,802.47,7115.84,-6715.58,802.47
1759749887.7592974,7094.2,-6693.94,766.17,-20.43,-22.84,36.78,7114.63,-6716.78,802.9499999999999,7114.63,-6716.78,802.9499999999999
1759749887.8174937,7091.8,-6692.74,766.66,-19.23,-24.04,34.12,7111.03,-6716.78,800.78,7111.03,-6716.78,800.78
1759749887.9385266,7094.2,-6693.94,767.62,-20.43,-22.84,35.82,7114.63,-6716.78,803.44,7114.63,-6716.78,803.44
1759749887.99824,7093.0,-6695.14,769.32,-21.64,-22.84,35.82,7114.64,-6717.9800000000005,805.1400000000001,7114.64,-6717.9800000000005,805.1400000000001
1759749888.0578299,7094.2,-6692.74,768.83,-19.23,-21.64,34.61,7113.429999999999,-6714.38,803.44,7113.429999999999,-6714.38,803.44
1759749888.1183023,7094.2,-6692.74,765.45,-20.43,-24.04,37.03,7114.63,-6716.78,802.48,7114.63,-6716.78,802.48
1759749888.2376013,7094.2,-6693.94,765.2,-19.23,-22.84,37.27,7113.429999999999,-6716.78,802.47,7113.429999999999,-6716.78,802.47
1759749888.2979412,7093.0,-6691.53,764.48,-20.43,-22.84,36.3,7113.43,-6714.37,800.78,7113.43,-6714.37,800.78
1759749888.3586972,7095.41,-6692.74,764.72,-21.64,-24.04,36.06,7117.05,-6716.78,800.78,7117.05,-6716.78,800.78
1759749888.5630412,7093.0,-6692.74,764.24,-19.23,-22.84,37.51,7112.23,-6715.58,801.75,7112.23,-6715.58,801.75
1759749888.5650592,7093.0,-6690.33,763.51,-20.43,-21.64,36.54,7113.43,-6711.97,800.05,7113.43,-6711.97,800.05
1759749888.6584418,7089.4,-6691.53,762.54,-20.43,-22.84,35.82,7109.83,-6714.37,798.36,7109.83,-6714.37,798.36
1759749888.6594548,7093.0,-6690.33,757.22,-20.43,-22.84,36.3,7113.43,-6713.17,793.52,7113.43,-6713.17,793.52
1759749888.7779968,7091.8,-6691.53,762.3,-20.43,-22.84,34.36,7112.2300000000005,-6714.37,796.66,7112.2300000000005,-6714.37,796.66
1759749888.8380616,7088.19,-6690.33,760.12,-19.23,-22.84,35.33,7107.419999999999,-6713.17,795.45,7107.419999999999,-6713.17,795.45
1759749888.8975775,7090.6,-6691.53,762.06,-19.23,-21.64,36.54,7109.83,-6713.17,798.5999999999999,7109.83,-6713.17,798.5999999999999
1759749889.030383,7091.8,-6690.33,755.04,-21.64,-22.84,37.99,7113.4400000000005,-6713.17,793.03,7113.4400000000005,-6713.17,793.03
1759749889.093206,7090.6,-6690.33,757.7,-20.43,-24.04,35.82,7111.030000000001,-6714.37,793.5200000000001,7111.030000000001,-6714.37,793.5200000000001
1759749889.1383524,7090.6,-6689.13,758.91,-20.43,-22.84,34.85,7111.030000000001,-6711.97,793.76,7111.030000000001,-6711.97,793.76
1759749889.1973622,7089.4,-6690.33,759.15,-20.43,-22.84,35.33,7109.83,-6713.17,794.48,7109.83,-6713.17,794.48
1759749889.3190396,7089.4,-6690.33,755.52,-21.64,-22.84,34.61,7111.04,-6713.17,790.13,7111.04,-6713.17,790.13
1759749889.377572,7088.19,-6687.93,755.04,-20.43,-22.84,36.06,7108.62,-6710.77,791.0999999999999,7108.62,-6710.77,791.0999999999999
1759749889.437857,7089.4,-6687.93,754.56,-19.23,-22.84,36.06,7108.629999999999,-6710.77,790.6199999999999,7108.629999999999,-6710.77,790.6199999999999
1759749889.5583432,7088.19,-6689.13,756.73,-20.43,-22.84,35.33,7108.62,-6711.97,792.0600000000001,7108.62,-6711.97,792.0600000000001
1759749889.6184602,7090.6,-6686.73,754.8,-21.64,-22.84,35.09,7112.240000000001,-6709.57,789.89,7112.240000000001,-6709.57,789.89
1759749889.6793125,7088.19,-6689.13,754.56,-20.43,-22.84,37.51,7108.62,-6711.97,792.0699999999999,7108.62,-6711.97,792.0699999999999
1759749889.7388964,7086.99,-6687.93,749.96,-19.23,-24.04,36.54,7106.219999999999,-6711.97,786.5,7106.219999999999,-6711.97,786.5
1759749889.8581517,7084.59,-6683.12,751.65,-20.43,-22.84,35.09,7105.02,-6705.96,786.74,7105.02,-6705.96,786.74
1759749889.9182203,7084.59,-6684.32,749.23,-19.23,-22.84,36.06,7103.82,-6707.16,785.29,7103.82,-6707.16,785.29
1759749890.040537,7086.99,-6684.32,748.51,-19.23,-22.84,36.06,7106.219999999999,-6707.16,784.5699999999999,7106.219999999999,-6707.16,784.5699999999999
1759749890.1576517,7089.4,-6684.32,750.2,-19.23,-22.84,36.78,7108.629999999999,-6707.16,786.98,7108.629999999999,-6707.16,786.98
1759749890.2170446,7084.59,-6686.73,746.57,-20.43,-24.04,37.03,7105.02,-6710.7699999999995,783.6,7105.02,-6710.7699999999995,783.6
1759749890.2776875,7086.99,-6685.52,750.44,-20.43,-24.04,37.27,7107.42,-6709.56,787.71,7107.42,-6709.56,787.71
1759749890.3979392,7085.79,-6685.52,748.26,-19.23,-22.84,35.82,7105.0199999999995,-6708.360000000001,784.08,7105.0199999999995,-6708.360000000001,784.08
1759749890.4574769,7083.39,-6684.32,747.3,-19.23,-22.84,37.03,7102.62,-6707.16,784.3299999999999,7102.62,-6707.16,784.3299999999999
1759749890.5189521,7084.59,-6684.32,746.57,-20.43,-22.84,34.61,7105.02,-6707.16,781.1800000000001,7105.02,-6707.16,781.1800000000001
1759749890.638111,7082.18,-6683.12,743.18,-20.43,-22.84,35.33,7102.610000000001,-6705.96,778.51,7102.610000000001,-6705.96,778.51
1759749890.6968167,7085.79,-6684.32,746.09,-19.23,-24.04,36.3,7105.0199999999995,-6708.36,782.39,7105.0199999999995,-6708.36,782.39
1759749890.7583532,7084.59,-6684.32,748.02,-20.43,-21.64,37.03,7105.02,-6705.96,785.05,7105.02,-6705.96,785.05
1759749890.8177648,7083.39,-6684.32,745.84,-19.23,-22.84,36.06,7102.62,-6707.16,781.9000000000001,7102.62,-6707.16,781.9000000000001
1759749890.9380755,7080.98,-6680.72,742.46,-19.23,-24.04,36.06,7100.209999999999,-6704.76,778.52,7100.209999999999,-6704.76,778.52
1759749890.9983428,7082.18,-6684.32,744.15,-19.23,-22.84,35.09,7101.41,-6707.16,779.24,7101.41,-6707.16,779.24
1759749891.1188693,7085.79,-6686.73,747.78,-21.64,-22.84,35.09,7107.43,-6709.57,782.87,7107.43,-6709.57,782.87
1759749891.1208675,7083.39,-6684.32,743.18,-19.23,-22.84,37.27,7102.62,-6707.16,780.4499999999999,7102.62,-6707.16,780.4499999999999
1759749891.2382112,7082.18,-6684.32,743.42,-20.43,-24.04,36.3,7102.610000000001,-6708.36,779.7199999999999,7102.610000000001,-6708.36,779.7199999999999
1759749891.2991178,7079.78,-6681.92,738.58,-20.43,-22.84,36.54,7100.21,-6704.76,775.12,7100.21,-6704.76,775.12
1759749891.3578956,7082.18,-6683.12,741.0,-20.43,-24.04,37.03,7102.610000000001,-6707.16,778.03,7102.610000000001,-6707.16,778.03
1759749891.4784744,7080.98,-6683.12,742.21,-19.23,-24.04,34.36,7100.209999999999,-6707.16,776.57,7100.209999999999,-6707.16,776.57
1759749891.5384905,7080.98,-6681.92,736.65,-20.43,-22.84,34.36,7101.41,-6704.76,771.01,7101.41,-6704.76,771.01
1759749891.5978491,7080.98,-6683.12,741.0,-20.43,-22.84,35.09,7101.41,-6705.96,776.09,7101.41,-6705.96,776.09
1759749891.657824,7080.98,-6683.12,739.07,-20.43,-21.64,33.64,7101.41,-6704.76,772.71,7101.41,-6704.76,772.71
1759749891.7775767,7083.39,-6681.92,740.04,-20.43,-22.84,35.57,7103.820000000001,-6704.76,775.61,7103.820000000001,-6704.76,775.61
1759749891.8379252,7082.18,-6681.92,741.49,-19.23,-24.04,35.33,7101.41,-6705.96,776.82,7101.41,-6705.96,776.82
1759749891.8980443,7083.39,-6683.12,736.65,-20.43,-24.04,35.57,7103.820000000001,-6707.16,772.22,7103.820000000001,-6707.16,772.22
1759749892.0183887,7083.39,-6683.12,738.83,-20.43,-22.84,36.06,7103.820000000001,-6705.96,774.8900000000001,7103.820000000001,-6705.96,774.8900000000001
1759749892.0785418,7082.18,-6681.92,739.79,-20.43,-22.84,34.12,7102.610000000001,-6704.76,773.91,7102.610000000001,-6704.76,773.91
1759749892.138294,7082.18,-6681.92,737.62,-20.43,-22.84,35.33,7102.610000000001,-6704.76,772.95,7102.610000000001,-6704.76,772.95
1759749892.1982288,7082.18,-6679.51,737.86,-20.43,-24.04,35.82,7102.610000000001,-6703.55,773.6800000000001,7102.610000000001,-6703.55,773.6800000000001
1759749892.338502,7080.98,-6683.12,738.83,-20.43,-22.84,35.33,7101.41,-6705.96,774.1600000000001,7101.41,-6705.96,774.1600000000001
1759749892.3779771,7079.78,-6681.92,738.83,-20.43,-22.84,33.88,7100.21,-6704.76,772.71,7100.21,-6704.76,772.71
1759749892.497498,7082.18,-6681.92,733.99,-20.43,-21.64,34.36,7102.610000000001,-6703.56,768.35,7102.610000000001,-6703.56,768.35
1759749892.618158,7079.78,-6681.92,738.58,-21.64,-22.84,35.09,7101.42,-6704.76,773.6700000000001,7101.42,-6704.76,773.6700000000001
1759749892.6201637,7080.98,-6680.72,735.2,-20.43,-22.84,34.85,7101.41,-6703.56,770.0500000000001,7101.41,-6703.56,770.0500000000001
1759749892.6786745,7080.98,-6681.92,737.62,-20.43,-22.84,37.03,7101.41,-6704.76,774.65,7101.41,-6704.76,774.65
1759749892.7387052,7079.78,-6680.72,737.13,-19.23,-22.84,33.88,7099.009999999999,-6703.56,771.01,7099.009999999999,-6703.56,771.01
1759749892.8578815,7080.98,-6677.11,730.6,-20.43,-22.84,35.82,7101.41,-6699.95,766.4200000000001,7101.41,-6699.95,766.4200000000001
1759749892.9784095,7079.78,-6679.51,737.13,-19.23,-22.84,35.09,7099.009999999999,-6702.35,772.22,7099.009999999999,-6702.35,772.22
1759749893.098191,7079.78,-6679.51,737.62,-20.43,-22.84,34.36,7100.21,-6702.35,771.98,7100.21,-6702.35,771.98
1759749893.1575823,7080.98,-6681.92,737.13,-21.64,-22.84,35.57,7102.62,-6704.76,772.7,7102.62,-6704.76,772.7
1759749893.2771986,7080.98,-6681.92,733.99,-19.23,-21.64,35.57,7100.209999999999,-6703.56,769.5600000000001,7100.209999999999,-6703.56,769.5600000000001
1759749893.2792892,7079.78,-6680.72,733.5,-20.43,-21.64,34.12,7100.21,-6702.360000000001,767.62,7100.21,-6702.360000000001,767.62
1759749893.398141,7079.78,-6679.51,736.16,-20.43,-22.84,34.61,7100.21,-6702.35,770.77,7100.21,-6702.35,770.77
1759749893.458567,7077.38,-6681.92,730.84,-19.23,-22.84,35.09,7096.61,-6704.76,765.9300000000001,7096.61,-6704.76,765.9300000000001
1759749893.5186083,7078.58,-6679.51,730.11,-19.23,-24.04,36.54,7097.8099999999995,-6703.55,766.65,7097.8099999999995,-6703.55,766.65
1759749893.6373217,7079.78,-6679.51,732.05,-20.43,-22.84,36.06,7100.21,-6702.35,768.1099999999999,7100.21,-6702.35,768.1099999999999
1759749893.6983054,7076.17,-6680.72,734.47,-19.23,-22.84,35.09,7095.4,-6703.56,769.5600000000001,7095.4,-6703.56,769.5600000000001
